"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"14","Luis Scola","http://twitter.com/search?q=%22Luis+Scola%22",NA,"%22Luis+Scola%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,14
"15","Día del Trabajador","http://twitter.com/search?q=%22D%C3%ADa+del+Trabajador%22",NA,"%22D%C3%ADa+del+Trabajador%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,15
"16","En Esquel","http://twitter.com/search?q=%22En+Esquel%22",NA,"%22En+Esquel%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,16
"17","Felipillo","http://twitter.com/search?q=Felipillo",NA,"Felipillo",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,17
"18","Grana","http://twitter.com/search?q=Grana",NA,"Grana",12239,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,18
"19","Amaia","http://twitter.com/search?q=Amaia",NA,"Amaia",50178,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,19
"20","Foucault","http://twitter.com/search?q=Foucault",NA,"Foucault",12953,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,20
"21","Chivilcoy","http://twitter.com/search?q=Chivilcoy",NA,"Chivilcoy",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,21
"22","Violini","http://twitter.com/search?q=Violini",NA,"Violini",24150,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,22
"23","gigi","http://twitter.com/search?q=gigi",NA,"gigi",438350,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,23
"24","Anses","http://twitter.com/search?q=Anses",NA,"Anses",19886,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,24
"25","Poder Judicial","http://twitter.com/search?q=%22Poder+Judicial%22",NA,"%22Poder+Judicial%22",30006,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,25
"26","Adam Sandler","http://twitter.com/search?q=%22Adam+Sandler%22",NA,"%22Adam+Sandler%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,26
"27","Juanfer","http://twitter.com/search?q=Juanfer",NA,"Juanfer",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,27
"28","Oasis","http://twitter.com/search?q=Oasis",NA,"Oasis",43373,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,28
"29","Ejecutivo","http://twitter.com/search?q=Ejecutivo",NA,"Ejecutivo",72005,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,29
"30","pupi maratea","http://twitter.com/search?q=%22pupi+maratea%22",NA,"%22pupi+maratea%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,30
"31","hotmail","http://twitter.com/search?q=hotmail",NA,"hotmail",11556,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,31
"32","Zaffaroni","http://twitter.com/search?q=Zaffaroni",NA,"Zaffaroni",15491,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,32
"33","Juez","http://twitter.com/search?q=Juez",NA,"Juez",69030,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,33
"34","Jueces","http://twitter.com/search?q=Jueces",NA,"Jueces",62685,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,34
"35","Villa","http://twitter.com/search?q=Villa",NA,"Villa",49479,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,35
"36","JONGDAE","http://twitter.com/search?q=JONGDAE",NA,"JONGDAE",379503,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,36
"37","#AlbertoLiberaAsesinos","http://twitter.com/search?q=%23AlbertoLiberaAsesinos",NA,"%23AlbertoLiberaAsesinos",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,37
"38","#<U+C5D0><U+C774><U+D2F0><U+C988>","http://twitter.com/search?q=%23%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88",NA,"%23%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88",273991,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,38
"39","#Cacerolazo30A","http://twitter.com/search?q=%23Cacerolazo30A",NA,"%23Cacerolazo30A",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,39
"40","#destapate","http://twitter.com/search?q=%23destapate",NA,"%23destapate",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,40
"41","#NoLiberenALosPresos","http://twitter.com/search?q=%23NoLiberenALosPresos",NA,"%23NoLiberenALosPresos",56923,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,41
"42","#DiaDelAnimal","http://twitter.com/search?q=%23DiaDelAnimal",NA,"%23DiaDelAnimal",18621,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,42
"43","#ElFeminismoHaMuerto","http://twitter.com/search?q=%23ElFeminismoHaMuerto",NA,"%23ElFeminismoHaMuerto",18429,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,43
"44","#MediosMacristasMentirosos","http://twitter.com/search?q=%23MediosMacristasMentirosos",NA,"%23MediosMacristasMentirosos",21160,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,44
"45","#OtraVezMienten","http://twitter.com/search?q=%23OtraVezMienten",NA,"%23OtraVezMienten",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,45
"46","#<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8><U+C81C><U+C774><U+D649>","http://twitter.com/search?q=%23%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8%EC%A0%9C%EC%9D%B4%ED%99%89",NA,"%23%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8%EC%A0%9C%EC%9D%B4%ED%99%89",51357,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,46
"47","#BuenMiercoles","http://twitter.com/search?q=%23BuenMiercoles",NA,"%23BuenMiercoles",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,47
"48","#felizdiadelanimal","http://twitter.com/search?q=%23felizdiadelanimal",NA,"%23felizdiadelanimal",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,48
"49","#junghoseok","http://twitter.com/search?q=%23junghoseok",NA,"%23junghoseok",31916,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,49
"50","#presoslibres","http://twitter.com/search?q=%23presoslibres",NA,"%23presoslibres",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,50
