"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"1","#BuenJueves","http://twitter.com/search?q=%23BuenJueves",NA,"%23BuenJueves",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,1
"2","#vuelvetebo","http://twitter.com/search?q=%23vuelvetebo",NA,"%23vuelvetebo",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,2
"3","Madres de Plaza de Mayo","http://twitter.com/search?q=%22Madres+de+Plaza+de+Mayo%22",NA,"%22Madres+de+Plaza+de+Mayo%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,3
"4","Pastasciutta","http://twitter.com/search?q=Pastasciutta",NA,"Pastasciutta",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,4
"5","Felipe Solá","http://twitter.com/search?q=%22Felipe+Sol%C3%A1%22",NA,"%22Felipe+Sol%C3%A1%22",19705,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,5
"6","Edenor","http://twitter.com/search?q=Edenor",NA,"Edenor",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,6
"7","Losardo","http://twitter.com/search?q=Losardo",NA,"Losardo",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,7
"8","#ElClubDelMoro","http://twitter.com/search?q=%23ElClubDelMoro",NA,"%23ElClubDelMoro",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,8
"9","Ministra de Justicia","http://twitter.com/search?q=%22Ministra+de+Justicia%22",NA,"%22Ministra+de+Justicia%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,9
"10","#cadamañana","http://twitter.com/search?q=%23cadama%C3%B1ana",NA,"%23cadama%C3%B1ana",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,10
"11","#TrenSarmiento","http://twitter.com/search?q=%23TrenSarmiento",NA,"%23TrenSarmiento",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,11
"12","Nora Cortiñas","http://twitter.com/search?q=%22Nora+Corti%C3%B1as%22",NA,"%22Nora+Corti%C3%B1as%22",NA,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,12
"13","pentagon","http://twitter.com/search?q=pentagon",NA,"pentagon",175445,"Argentina",23424747,2020-04-30 13:02:08,2020-04-30 12:58:25,2020-04-30 10:02:06,2020-04-30,13
