"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"1","JEON JUNGKOOK","http://twitter.com/search?q=%22JEON+JUNGKOOK%22",NA,"%22JEON+JUNGKOOK%22",189254,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,1
"2","#MMM2020","http://twitter.com/search?q=%23MMM2020",NA,"%23MMM2020",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,2
"3","#ElSilencioDeLosInocentes","http://twitter.com/search?q=%23ElSilencioDeLosInocentes",NA,"%23ElSilencioDeLosInocentes",17325,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,3
"4","LOS TATUAJES","http://twitter.com/search?q=%22LOS+TATUAJES%22",NA,"%22LOS+TATUAJES%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,4
"5","newt","http://twitter.com/search?q=newt",NA,"newt",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,5
"6","Avelluto","http://twitter.com/search?q=Avelluto",NA,"Avelluto",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,6
"7","#BuenSabado","http://twitter.com/search?q=%23BuenSabado",NA,"%23BuenSabado",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,7
"8","Ronaldinho","http://twitter.com/search?q=Ronaldinho",NA,"Ronaldinho",11958,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,8
"9","EL FINAL","http://twitter.com/search?q=%22EL+FINAL%22",NA,"%22EL+FINAL%22",51274,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,9
"10","#CamilizersAtHome","http://twitter.com/search?q=%23CamilizersAtHome",NA,"%23CamilizersAtHome",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,10
"11","Steven Tyler","http://twitter.com/search?q=%22Steven+Tyler%22",NA,"%22Steven+Tyler%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,11
"12","Dale Carla","http://twitter.com/search?q=%22Dale+Carla%22",NA,"%22Dale+Carla%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,12
"13","Teresa","http://twitter.com/search?q=Teresa",NA,"Teresa",18099,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,13
"14","#MileyVirtualConcert","http://twitter.com/search?q=%23MileyVirtualConcert",NA,"%23MileyVirtualConcert",12140,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,14
"15","ARA General Belgrano","http://twitter.com/search?q=%22ARA+General+Belgrano%22",NA,"%22ARA+General+Belgrano%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,15
"16","70 Lucas","http://twitter.com/search?q=%2270+Lucas%22",NA,"%2270+Lucas%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,16
"17","Achicoria","http://twitter.com/search?q=Achicoria",NA,"Achicoria",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,17
"18","Hwasa","http://twitter.com/search?q=Hwasa",NA,"Hwasa",53425,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,18
