"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"19","FELIZ DIA TINISTAS","http://twitter.com/search?q=%22FELIZ+DIA+TINISTAS%22",NA,"%22FELIZ+DIA+TINISTAS%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,19
"20","Cristina y Massa","http://twitter.com/search?q=%22Cristina+y+Massa%22",NA,"%22Cristina+y+Massa%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,20
"21","conti","http://twitter.com/search?q=conti",NA,"conti",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,21
"22","Paulo Freire","http://twitter.com/search?q=%22Paulo+Freire%22",NA,"%22Paulo+Freire%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,22
"23","Luis Juez","http://twitter.com/search?q=%22Luis+Juez%22",NA,"%22Luis+Juez%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,23
"24","Wine","http://twitter.com/search?q=Wine",NA,"Wine",111966,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,24
"25","Griezmann","http://twitter.com/search?q=Griezmann",NA,"Griezmann",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,25
"26","TE EXTRAÑE","http://twitter.com/search?q=%22TE+EXTRA%C3%91E%22",NA,"%22TE+EXTRA%C3%91E%22",12709,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,26
"27","MEP o CCL","http://twitter.com/search?q=%22MEP+o+CCL%22",NA,"%22MEP+o+CCL%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,27
"28","Angola","http://twitter.com/search?q=Angola",NA,"Angola",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,28
"29","David Beckham","http://twitter.com/search?q=%22David+Beckham%22",NA,"%22David+Beckham%22",34034,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,29
"30","Cantas","http://twitter.com/search?q=Cantas",NA,"Cantas",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,30
"31","MULC","http://twitter.com/search?q=MULC",NA,"MULC",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,31
"32","Lea Michele","http://twitter.com/search?q=%22Lea+Michele%22",NA,"%22Lea+Michele%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,32
"33","Cerruti","http://twitter.com/search?q=Cerruti",NA,"Cerruti",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,33
"34","Ana María Figueroa","http://twitter.com/search?q=%22Ana+Mar%C3%ADa+Figueroa%22",NA,"%22Ana+Mar%C3%ADa+Figueroa%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,34
"35","Lombardi","http://twitter.com/search?q=Lombardi",NA,"Lombardi",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,35
"36","Laurel","http://twitter.com/search?q=Laurel",NA,"Laurel",10660,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,36
"37","World Rugby","http://twitter.com/search?q=%22World+Rugby%22",NA,"%22World+Rugby%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,37
"38","Iker","http://twitter.com/search?q=Iker",NA,"Iker",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,38
"39","THE CLIMB","http://twitter.com/search?q=%22THE+CLIMB%22",NA,"%22THE+CLIMB%22",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,39
"40","Tardecita","http://twitter.com/search?q=Tardecita",NA,"Tardecita",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,40
"41","#ElPuebloSeOrganiza","http://twitter.com/search?q=%23ElPuebloSeOrganiza",NA,"%23ElPuebloSeOrganiza",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,41
"42","#GoISG","http://twitter.com/search?q=%23GoISG",NA,"%23GoISG",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,42
"43","#bullying","http://twitter.com/search?q=%23bullying",NA,"%23bullying",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,43
"44","#HarryPotter","http://twitter.com/search?q=%23HarryPotter",NA,"%23HarryPotter",19345,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,44
"45","#LOVE4SAMU","http://twitter.com/search?q=%23LOVE4SAMU",NA,"%23LOVE4SAMU",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,45
"46","#SabadoDeFotoRetro","http://twitter.com/search?q=%23SabadoDeFotoRetro",NA,"%23SabadoDeFotoRetro",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,46
"47","#UnDiaSiendoMara","http://twitter.com/search?q=%23UnDiaSiendoMara",NA,"%23UnDiaSiendoMara",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,47
"48","#ENOFLOVEep8","http://twitter.com/search?q=%23ENOFLOVEep8",NA,"%23ENOFLOVEep8",1480861,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,48
"49","#NadieSeSalvaSolx","http://twitter.com/search?q=%23NadieSeSalvaSolx",NA,"%23NadieSeSalvaSolx",NA,"Argentina",23424747,2020-05-02 20:14:57,2020-05-02 20:09:13,2020-05-02 17:14:57,2020-05-02,49
