"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"39","#terrorismodeestadok","http://twitter.com/search?q=%23terrorismodeestadok",NA,"%23terrorismodeestadok",37559,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,39
"40","#irresponsables","http://twitter.com/search?q=%23irresponsables",NA,"%23irresponsables",250307,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,40
"41","#MesazaEnCasa","http://twitter.com/search?q=%23MesazaEnCasa",NA,"%23MesazaEnCasa",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,41
"42","#SelfieForLali","http://twitter.com/search?q=%23SelfieForLali",NA,"%23SelfieForLali",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,42
"43","#lacornisa","http://twitter.com/search?q=%23lacornisa",NA,"%23lacornisa",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,43
"44","#ElPeorPresidenteDeLaHistoria","http://twitter.com/search?q=%23ElPeorPresidenteDeLaHistoria",NA,"%23ElPeorPresidenteDeLaHistoria",15692,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,44
"45","#COVID<U+30FC>19","http://twitter.com/search?q=%23COVID%E3%83%BC19",NA,"%23COVID%E3%83%BC19",77529,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,45
"46","#GraciasPresidente","http://twitter.com/search?q=%23GraciasPresidente",NA,"%23GraciasPresidente",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,46
"47","#esmalo","http://twitter.com/search?q=%23esmalo",NA,"%23esmalo",10811,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,47
"48","#motivos","http://twitter.com/search?q=%23motivos",NA,"%23motivos",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,48
"49","#StrayKidsOnlineConcert","http://twitter.com/search?q=%23StrayKidsOnlineConcert",NA,"%23StrayKidsOnlineConcert",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,49
"50","#domingodecuarentena","http://twitter.com/search?q=%23domingodecuarentena",NA,"%23domingodecuarentena",10052,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,50
