"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"1","#BuenLunes","http://twitter.com/search?q=%23BuenLunes",NA,"%23BuenLunes",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,1
"2","#VorterixNoSortea","http://twitter.com/search?q=%23VorterixNoSortea",NA,"%23VorterixNoSortea",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,2
"3","DADDY YANKEE","http://twitter.com/search?q=%22DADDY+YANKEE%22",NA,"%22DADDY+YANKEE%22",68710,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,3
"4","pico truncado","http://twitter.com/search?q=%22pico+truncado%22",NA,"%22pico+truncado%22",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,4
"5","#ElClubDelMoro","http://twitter.com/search?q=%23ElClubDelMoro",NA,"%23ElClubDelMoro",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,5
"6","#AhoraDicen","http://twitter.com/search?q=%23AhoraDicen",NA,"%23AhoraDicen",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,6
"7","Con Calma","http://twitter.com/search?q=%22Con+Calma%22",NA,"%22Con+Calma%22",82386,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,7
"8","#Destapate","http://twitter.com/search?q=%23Destapate",NA,"%23Destapate",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,8
"9","Urtubey","http://twitter.com/search?q=Urtubey",NA,"Urtubey",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,9
"10","El 27","http://twitter.com/search?q=%22El+27%22",NA,"%22El+27%22",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,10
"11","Just Dance","http://twitter.com/search?q=%22Just+Dance%22",NA,"%22Just+Dance%22",75890,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,11
"12","Marcos","http://twitter.com/search?q=Marcos",NA,"Marcos",69927,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,12
"13","Alberto","http://twitter.com/search?q=Alberto",NA,"Alberto",186896,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,13
"14","500mts","http://twitter.com/search?q=500mts",NA,"500mts",25826,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,14
"15","CHOCLOTORTA","http://twitter.com/search?q=CHOCLOTORTA",NA,"CHOCLOTORTA",44718,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,15
"16","Angelo","http://twitter.com/search?q=Angelo",NA,"Angelo",19187,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,16
"17","Agus","http://twitter.com/search?q=Agus",NA,"Agus",29185,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,17
"18","Jorgito","http://twitter.com/search?q=Jorgito",NA,"Jorgito",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,18
"19","Santa Fe","http://twitter.com/search?q=%22Santa+Fe%22",NA,"%22Santa+Fe%22",26685,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,19
"20","Mercosur","http://twitter.com/search?q=Mercosur",NA,"Mercosur",21500,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,20
"21","iPhone","http://twitter.com/search?q=iPhone",NA,"iPhone",210731,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,21
"22","virrey","http://twitter.com/search?q=virrey",NA,"virrey",15155,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,22
"23","UNLaM","http://twitter.com/search?q=UNLaM",NA,"UNLaM",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,23
"24","Christophe","http://twitter.com/search?q=Christophe",NA,"Christophe",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,24
"25","Alguien a 500","http://twitter.com/search?q=%22Alguien+a+500%22",NA,"%22Alguien+a+500%22",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,25
"26","Caleta","http://twitter.com/search?q=Caleta",NA,"Caleta",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,26
"27","Bailey","http://twitter.com/search?q=Bailey",NA,"Bailey",20621,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,27
"28","Abel","http://twitter.com/search?q=Abel",NA,"Abel",26048,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,28
"29","Alerta Aeropuerto","http://twitter.com/search?q=%22Alerta+Aeropuerto%22",NA,"%22Alerta+Aeropuerto%22",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,29
"30","Denunciado","http://twitter.com/search?q=Denunciado",NA,"Denunciado",13917,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,30
"31","Sami","http://twitter.com/search?q=Sami",NA,"Sami",37523,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,31
"32","Los 500","http://twitter.com/search?q=%22Los+500%22",NA,"%22Los+500%22",21562,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,32
"33","holanda","http://twitter.com/search?q=holanda",NA,"holanda",10330,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,33
"34","lexie","http://twitter.com/search?q=lexie",NA,"lexie",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,34
"35","#StayTonight","http://twitter.com/search?q=%23StayTonight",NA,"%23StayTonight",47830,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,35
"36","#lapeñaencasa","http://twitter.com/search?q=%23lape%C3%B1aencasa",NA,"%23lape%C3%B1aencasa",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,36
"37","#500metros","http://twitter.com/search?q=%23500metros",NA,"%23500metros",NA,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,37
"38","#IUxSUGA","http://twitter.com/search?q=%23IUxSUGA",NA,"%23IUxSUGA",488429,"Argentina",23424747,2020-04-27 12:02:26,2020-04-27 11:57:34,2020-04-27 09:02:26,2020-04-27,38
