"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"1","Menta","http://twitter.com/search?q=Menta",NA,"Menta",18504,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,1
"2","Verde","http://twitter.com/search?q=Verde",NA,"Verde",64800,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,2
"3","#2013enMTVHits","http://twitter.com/search?q=%232013enMTVHits",NA,"%232013enMTVHits",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,3
"4","#RainOnMe","http://twitter.com/search?q=%23RainOnMe",NA,"%23RainOnMe",74392,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,4
"5","Sugus","http://twitter.com/search?q=Sugus",NA,"Sugus",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,5
"6","#DolarA140","http://twitter.com/search?q=%23DolarA140",NA,"%23DolarA140",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,6
"7","NEOKIT-COVID-19","http://twitter.com/search?q=NEOKIT-COVID-19",NA,"NEOKIT-COVID-19",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,7
"8","Manzana","http://twitter.com/search?q=Manzana",NA,"Manzana",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,8
"9","#AgustinCasanovaTourAtHome","http://twitter.com/search?q=%23AgustinCasanovaTourAtHome",NA,"%23AgustinCasanovaTourAtHome",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,9
"10","BIZA LARGA LA SESSION","http://twitter.com/search?q=%22BIZA+LARGA+LA+SESSION%22",NA,"%22BIZA+LARGA+LA+SESSION%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,10
"11","Limón","http://twitter.com/search?q=Lim%C3%B3n",NA,"Lim%C3%B3n",18267,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,11
"12","#bigligasisoverparty","http://twitter.com/search?q=%23bigligasisoverparty",NA,"%23bigligasisoverparty",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,12
"13","Naranja","http://twitter.com/search?q=Naranja",NA,"Naranja",15469,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,13
"14","Puré","http://twitter.com/search?q=Pur%C3%A9",NA,"Pur%C3%A9",242303,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,14
"15","Frutilla","http://twitter.com/search?q=Frutilla",NA,"Frutilla",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,15
"16","Ciencia y Tecnología","http://twitter.com/search?q=%22Ciencia+y+Tecnolog%C3%ADa%22",NA,"%22Ciencia+y+Tecnolog%C3%ADa%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,16
"17","KADER YA NOS EXHIBISTE","http://twitter.com/search?q=%22KADER+YA+NOS+EXHIBISTE%22",NA,"%22KADER+YA+NOS+EXHIBISTE%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,17
"18","Orgullo Argentino","http://twitter.com/search?q=%22Orgullo+Argentino%22",NA,"%22Orgullo+Argentino%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,18
"19","Capria","http://twitter.com/search?q=Capria",NA,"Capria",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,19
"20","Rain On Me","http://twitter.com/search?q=%22Rain+On+Me%22",NA,"%22Rain+On+Me%22",47132,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,20
"21","Dortmund","http://twitter.com/search?q=Dortmund",NA,"Dortmund",28626,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,21
"22","DEMIR VUELVE","http://twitter.com/search?q=%22DEMIR+VUELVE%22",NA,"%22DEMIR+VUELVE%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,22
"23","Tute","http://twitter.com/search?q=Tute",NA,"Tute",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,23
"24","Martín Campaña","http://twitter.com/search?q=%22Mart%C3%ADn+Campa%C3%B1a%22",NA,"%22Mart%C3%ADn+Campa%C3%B1a%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,24
"25","Cuneo Libarona","http://twitter.com/search?q=%22Cuneo+Libarona%22",NA,"%22Cuneo+Libarona%22",NA,"Argentina",23424747,2020-05-15 23:03:16,2020-05-15 22:56:23,2020-05-15 20:03:15,2020-05-15,25
