"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"37","#Chromatica","http://twitter.com/search?q=%23Chromatica",NA,"%23Chromatica",143413,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,37
"38","#Pasapalabra","http://twitter.com/search?q=%23Pasapalabra",NA,"%23Pasapalabra",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,38
"39","#ElPeladoenCronica","http://twitter.com/search?q=%23ElPeladoenCronica",NA,"%23ElPeladoenCronica",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,39
"40","#2YearsWithSingularity","http://twitter.com/search?q=%232YearsWithSingularity",NA,"%232YearsWithSingularity",206058,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,40
"41","#EsencialesenTYCsports","http://twitter.com/search?q=%23EsencialesenTYCsports",NA,"%23EsencialesenTYCsports",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,41
"42","#AIRBAGLiveShow","http://twitter.com/search?q=%23AIRBAGLiveShow",NA,"%23AIRBAGLiveShow",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,42
"43","#MiercolesDeEllas","http://twitter.com/search?q=%23MiercolesDeEllas",NA,"%23MiercolesDeEllas",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,43
"44","#NoSoyBot","http://twitter.com/search?q=%23NoSoyBot",NA,"%23NoSoyBot",55768,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,44
"45","#SesionVirtual","http://twitter.com/search?q=%23SesionVirtual",NA,"%23SesionVirtual",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,45
"46","#confrontados","http://twitter.com/search?q=%23confrontados",NA,"%23confrontados",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,46
"47","#EsperandoLaCarroza","http://twitter.com/search?q=%23EsperandoLaCarroza",NA,"%23EsperandoLaCarroza",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,47
"48","#igot7selcaday","http://twitter.com/search?q=%23igot7selcaday",NA,"%23igot7selcaday",54477,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,48
"49","#Gentleman","http://twitter.com/search?q=%23Gentleman",NA,"%23Gentleman",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,49
"50","#Obelisco","http://twitter.com/search?q=%23Obelisco",NA,"%23Obelisco",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,50
